"","token","completed","browser","platform","date_land","date_submit","user_agent","referer","network_id","list_iVD4_choice","opinionscale_nW40","opinionscale_LMTT","opinionscale_54545284","yesno_a0SN","textarea_WkNg","list_iVD4_other"
"1","b0ce7756ba74d4d3ddbcdf02f25a4804","1","touch","mobile","2017-06-30 09:23:15","2017-06-30 09:25:29","Mozilla/5.0 (Linux; Android 6.0; LG-D855 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","2f1b826684","Statistician","2","1","3","0","New approaches for optimizing my R coding. Find out about most time consuming tasks",NA
"2","a8d2a40cd6021e258eeb793680335953","1","default","other","2017-06-30 09:23:17","2017-06-30 10:30:20","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","2a02:8071:91a4:6600:809b:6988:dfef:9283",NA,"5","5","2","0","Get Efficient in Programming in R","Research Assistant"
"3","e3f134cd20f4f2a32e4ad4a2ca1301d0","1","default","other","2017-06-30 09:23:31","2017-06-30 09:24:23","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","dde4922acd","Data Scientist","7","9","2","0","be more concise and efficient in programming",NA
"4","0e8519cdddfd9fdba6fa9d86c2acb0a2","1","default","other","2017-06-30 09:23:53","2017-06-30 09:25:53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","0a4af3b273","Data Scientist","1","2","4","1","better intuition for choosing high performant options when solving problems in R",NA
"5","499895c50d4692fc9514d0f196f91497","1","default","other","2017-06-30 09:23:59","2017-06-30 09:39:13","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","aa6a57c85a","Statistician","2","2","7","1",NA,NA
"6","880dca2b41befc3d48c9882bb39585d7","1","default","other","2017-06-30 09:28:39","2017-06-30 09:51:47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","d4cd005675","Data Scientist","1","1","6","1",NA,NA
"7","93c80b75b249f760386ac1cdebc56c22","1","default","other","2017-06-30 09:33:16","2017-06-30 09:34:33","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","1fe1aa0062","Statistician","2","2","9","1","Learn interesting tips and tricks for efficient R programming.",NA
"8","89db4afa5cdf3e5f95f3aa14919c0178","1","default","other","2017-06-30 09:36:29","2017-06-30 09:38:41","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","cc4bffe66d","Statistician","4","1","2","0","Learning tips to write mor efficient codes (less time consuming)",NA
"9","995ae049b952a107437c68c987dc03ef","1","default","other","2017-06-30 09:42:02","2017-06-30 09:43:57","Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","8b7a3c1747","Statistician","3","3","8","0",NA,NA
"10","28009045ff24d23d33fc3c86a3d183d8","1","default","other","2017-06-30 09:42:41","2017-06-30 09:43:46","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","5eb141b71b","Data Scientist","1","1","3","1","write clearer and faster code",NA
"11","575aed4ff81655ea97395e0359a2502e","1","default","other","2017-06-30 09:43:25","2017-06-30 09:46:29","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","8c5f5e1b5c","Biologist","3","1","3","1","I can solve most the problems I need to solve with R, but sometimes I have the feeling that the code is neither particularly beautiful not efficient. I hope to improve this.",NA
"12","709e42b7eeccf4ddcb191b54f93bc9ca","1","default","other","2017-06-30 09:46:34","2017-06-30 09:47:21","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","9bfb7c3d92","Data Scientist","2","1","8","0",NA,NA
"13","012fbfc8702c0af02e8b0028d0580f67","1","default","other","2017-06-30 09:50:38","2017-06-30 09:51:46","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","f68080561c","Data Scientist","2","1","3","1","Better understandning of c++ in R environment",NA
"14","fb5d981198e0b1f64bd65207a36c200d","1","default","other","2017-06-30 09:53:26","2017-06-30 09:54:25","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","815c09ed91","Statistician","1","1","5","1","Improved Rcpp and C++ skills, knowledge of when and how to use Rcpp",NA
"15","adfc015e795365ef77316686d7838781","1","default","other","2017-06-30 09:54:39","2017-06-30 09:56:05","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","7e774f5151","Data Scientist","5","5","2","0","Eager to see how others code, tips & tricks",NA
"16","6c3373a14b57489b3545ee556213f09b","1","touch","mobile","2017-06-30 09:57:48","2017-06-30 09:58:58","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","e9cd8ceb40","Data Scientist","6","5","2","1","best coding and packaging practices",NA
"17","58c0305fe72abd1a91eddb3bbf7d68ed","1","default","other","2017-06-30 10:21:27","2017-06-30 10:29:35","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4","https://csgillespie.typeform.com/to/Z8NnMV?typeform-embed=embed-fullpage","8f553282e7",NA,"3","4","1","0","Hope to understand how to improve my set up in order to run codes more efficiently","Health professional"
